school,total_enrollment,year,asian,black,hispanic,white,other,poverty
High School for Media and Communications,408,2017-18,4,46,350,7,1,371
High School for Law and Public Service,679,2013-14,7,112,546,11,3,527
High School for Law and Public Service,671,2014-15,3,113,544,9,2,526
High School for Law and Public Service,615,2015-16,2,100,500,12,1,471
High School for Law and Public Service,593,2016-17,3,87,491,10,2,463
High School for Law and Public Service,544,2017-18,4,75,455,9,1,484
High School for Health Careers and Sciences,624,2013-14,7,113,488,8,8,584
High School for Health Careers and Sciences,605,2014-15,9,99,482,7,8,595
High School for Health Careers and Sciences,526,2015-16,11,68,437,5,5,514
High School for Health Careers and Sciences,460,2016-17,7,62,378,4,9,446
High School for Health Careers and Sciences,463,2017-18,11,69,372,3,8,448
Castle Bridge School,119,2013-14,5,16,63,26,9,61
Castle Bridge School,152,2014-15,6,17,93,32,4,74
Castle Bridge School,193,2015-16,4,21,124,40,4,114
Castle Bridge School,227,2016-17,4,24,147,45,7,139
Castle Bridge School,229,2017-18,4,23,151,41,10,151
I.S. 528 Bea Fuller Rodgers School,226,2013-14,1,4,220,1,0,221
I.S. 528 Bea Fuller Rodgers School,197,2014-15,1,4,190,2,0,193
I.S. 528 Bea Fuller Rodgers School,206,2015-16,2,4,199,1,0,199
I.S. 528 Bea Fuller Rodgers School,199,2016-17,2,4,192,1,0,190
I.S. 528 Bea Fuller Rodgers School,224,2017-18,1,3,220,0,0,215
A. Philip Randolph Campus High School,1360,2013-14,64,430,830,16,20,1098
A. Philip Randolph Campus High School,1354,2014-15,67,431,810,21,25,1176
A. Philip Randolph Campus High School,1438,2015-16,78,429,873,23,35,1194
A. Philip Randolph Campus High School,1447,2016-17,77,424,872,36,38,1190
A. Philip Randolph Campus High School,1375,2017-18,66,386,857,29,37,1178
Gregorio Luperon High School for Science and Mathe,491,2013-14,0,1,490,0,0,483
Gregorio Luperon High School for Science and Mathe,504,2014-15,0,0,504,0,0,497
Gregorio Luperon High School for Science and Mathe,503,2015-16,0,0,503,0,0,499
Gregorio Luperon High School for Science and Mathe,508,2016-17,0,0,508,0,0,469
Gregorio Luperon High School for Science and Mathe,524,2017-18,0,0,524,0,0,472
P.S. 001 Courtlandt School,685,2013-14,3,145,515,15,7,679
P.S. 001 Courtlandt School,707,2014-15,4,155,527,18,3,693
P.S. 001 Courtlandt School,686,2015-16,3,155,508,16,4,678
P.S. 001 Courtlandt School,622,2016-17,1,141,465,14,1,615
P.S. 001 Courtlandt School,663,2017-18,3,149,501,10,0,652
P.S. 5 Port Morris,701,2013-14,1,179,504,7,10,658
P.S. 5 Port Morris,799,2014-15,1,184,590,15,9,720
P.S. 5 Port Morris,760,2015-16,1,204,537,11,7,743
P.S. 5 Port Morris,722,2016-17,2,199,504,11,6,693
P.S. 5 Port Morris,722,2017-18,3,198,494,21,6,689
P.S. 018 John Peter Zenger,544,2013-14,15,166,351,1,11,507
P.S. 018 John Peter Zenger,576,2014-15,13,164,384,6,9,540
P.S. 018 John Peter Zenger,624,2015-16,14,183,401,16,10,598
P.S. 018 John Peter Zenger,601,2016-17,13,165,398,17,8,588
P.S. 018 John Peter Zenger,603,2017-18,10,151,411,25,6,589
P.S. 025 Bilingual School,470,2013-14,1,48,417,2,2,454
P.S. 025 Bilingual School,490,2014-15,1,41,444,1,3,479
P.S. 025 Bilingual School,506,2015-16,6,54,438,5,3,495
P.S. 025 Bilingual School,500,2016-17,7,54,431,5,3,483
P.S. 025 Bilingual School,540,2017-18,7,53,471,7,2,513
P.S./M.S. 029 Melrose School,738,2013-14,15,240,475,3,5,728
P.S./M.S. 029 Melrose School,750,2014-15,17,222,496,9,6,739
P.S./M.S. 029 Melrose School,758,2015-16,19,215,510,7,7,734
P.S./M.S. 029 Melrose School,770,2016-17,19,221,514,9,7,703
P.S./M.S. 029 Melrose School,792,2017-18,12,237,523,9,11,732
P.S. 030 Wilton,565,2013-14,7,117,428,10,3,539
P.S. 030 Wilton,624,2014-15,11,139,460,11,3,591
P.S. 030 Wilton,584,2015-16,9,120,440,12,3,561
P.S. 030 Wilton,590,2016-17,7,119,443,17,4,543
P.S. 030 Wilton,559,2017-18,7,126,408,13,5,512
P.S./M.S. 031 The William Lloyd Garrison,681,2013-14,12,172,479,11,7,650
P.S./M.S. 031 The William Lloyd Garrison,729,2014-15,15,184,515,12,3,705
P.S./M.S. 031 The William Lloyd Garrison,747,2015-16,18,198,516,11,4,694
P.S./M.S. 031 The William Lloyd Garrison,731,2016-17,17,196,498,15,5,678
P.S./M.S. 031 The William Lloyd Garrison,708,2017-18,20,194,470,18,6,646
P.S. 043 Jonas Bronck,536,2013-14,3,142,387,4,0,522
P.S. 043 Jonas Bronck,525,2014-15,2,145,369,7,2,499
P.S. 043 Jonas Bronck,499,2015-16,0,135,353,6,5,483
P.S. 043 Jonas Bronck,470,2016-17,3,132,328,5,2,457
P.S. 043 Jonas Bronck,471,2017-18,2,125,338,5,1,446
P.S. 049 Willis Avenue,668,2013-14,1,198,457,7,5,652
P.S. 049 Willis Avenue,713,2014-15,2,206,489,4,12,697
P.S. 049 Willis Avenue,688,2015-16,3,202,469,5,9,671
P.S. 049 Willis Avenue,662,2016-17,2,182,465,6,7,652
P.S. 049 Willis Avenue,657,2017-18,3,168,474,5,7,634
P.S. 065 Mother Hale Academy,450,2013-14,7,133,306,1,3,446
P.S. 065 Mother Hale Academy,423,2014-15,10,138,269,3,3,418
P.S. 065 Mother Hale Academy,436,2015-16,11,138,279,5,3,431
P.S. 065 Mother Hale Academy,425,2016-17,7,152,257,6,3,423
P.S. 065 Mother Hale Academy,395,2017-18,7,136,239,5,8,388
J.H.S. 151 Lou Gehrig,275,2013-14,5,89,180,1,0,260
J.H.S. 151 Lou Gehrig,253,2014-15,3,69,179,1,1,236
J.H.S. 151 Lou Gehrig,255,2015-16,3,72,177,2,1,248
J.H.S. 151 Lou Gehrig,245,2016-17,0,68,172,5,0,239
J.H.S. 151 Lou Gehrig,261,2017-18,0,70,184,6,1,259
P.S. 154 Jonathan D. Hyatt,449,2013-14,8,147,266,10,18,429
P.S. 154 Jonathan D. Hyatt,405,2014-15,0,152,239,9,5,391
P.S. 154 Jonathan D. Hyatt,391,2015-16,0,158,222,5,6,375
P.S. 154 Jonathan D. Hyatt,385,2016-17,1,156,217,7,4,377
P.S. 154 Jonathan D. Hyatt,370,2017-18,1,150,211,4,4,360
P.S. 157 Grove Hill,664,2013-14,1,214,447,1,1,638
P.S. 157 Grove Hill,655,2014-15,2,201,451,0,1,625
P.S. 157 Grove Hill,657,2015-16,2,200,452,1,2,630
P.S. 157 Grove Hill,644,2016-17,1,207,432,1,3,615
P.S. 157 Grove Hill,644,2017-18,1,202,422,2,17,618
P.S. 161 Juan Ponce De Leon School,526,2013-14,4,114,396,9,3,513
P.S. 161 Juan Ponce De Leon School,529,2014-15,4,119,394,10,2,518
P.S. 161 Juan Ponce De Leon School,542,2015-16,4,123,398,13,4,516
P.S. 161 Juan Ponce De Leon School,509,2016-17,3,110,386,7,3,479
P.S. 161 Juan Ponce De Leon School,523,2017-18,2,123,382,9,7,500
P.S. 179,384,2013-14,0,62,309,1,12,363
P.S. 179,397,2014-15,1,66,321,1,8,366
P.S. 179,373,2015-16,3,56,309,0,5,365
P.S. 179,357,2016-17,3,46,299,2,7,346
P.S. 179,332,2017-18,3,50,274,2,3,321
South Bronx Preparatory: A College Board School,644,2013-14,6,165,463,7,3,617
South Bronx Preparatory: A College Board School,654,2014-15,6,168,465,8,7,633
South Bronx Preparatory: A College Board School,654,2015-16,8,159,471,11,5,632
South Bronx Preparatory: A College Board School,657,2016-17,12,153,474,11,7,633
South Bronx Preparatory: A College Board School,659,2017-18,10,165,468,12,4,635
The Laboratory School of Finance and Technology: X,451,2013-14,2,105,342,2,0,441
The Laboratory School of Finance and Technology: X,502,2014-15,2,106,391,3,0,487
The Laboratory School of Finance and Technology: X,595,2015-16,2,118,469,4,2,573
The Laboratory School of Finance and Technology: X,697,2016-17,3,128,559,5,2,678
The Laboratory School of Finance and Technology: X,684,2017-18,4,122,551,5,2,666
P.S./I.S. 224,327,2013-14,0,63,253,9,2,321
P.S./I.S. 224,362,2014-15,0,84,267,7,4,358
P.S./I.S. 224,367,2015-16,1,90,271,3,2,359
P.S./I.S. 224,389,2016-17,1,98,285,2,3,383
P.S./I.S. 224,358,2017-18,1,94,257,5,1,351
"H.E.R.O. High (Health, Education, and Research Occ",126,2013-14,2,48,72,2,2,109
"H.E.R.O. High (Health, Education, and Research Occ",231,2014-15,5,82,136,4,4,194
"H.E.R.O. High (Health, Education, and Research Occ",343,2015-16,4,126,202,3,8,281
"H.E.R.O. High (Health, Education, and Research Occ",455,2016-17,5,176,260,3,11,347
"H.E.R.O. High (Health, Education, and Research Occ",496,2017-18,7,191,287,3,8,409
P.S. 277,435,2013-14,5,97,317,5,11,415
P.S. 277,468,2014-15,5,110,343,3,7,441
P.S. 277,444,2015-16,2,104,327,3,8,432
P.S. 277,461,2016-17,4,112,334,2,9,449
P.S. 277,488,2017-18,5,111,359,2,11,451
South Bronx Academy for Applied Media,377,2013-14,3,140,229,0,5,325
South Bronx Academy for Applied Media,349,2014-15,2,128,213,2,4,296
South Bronx Academy for Applied Media,336,2015-16,2,113,213,3,5,279
South Bronx Academy for Applied Media,296,2016-17,2,100,187,2,5,254
South Bronx Academy for Applied Media,253,2017-18,3,83,162,2,3,236
Academy of Public Relations,363,2013-14,1,88,272,1,1,317
Academy of Public Relations,352,2014-15,2,98,248,3,1,296
Academy of Public Relations,312,2015-16,1,81,226,4,0,257
Academy of Public Relations,256,2016-17,0,53,198,4,1,205
Academy of Public Relations,247,2017-18,1,51,189,4,2,225
International Community High School,437,2013-14,23,70,334,4,6,410
International Community High School,463,2014-15,30,65,355,6,7,447
International Community High School,470,2015-16,25,57,373,10,5,451
International Community High School,443,2016-17,19,51,360,7,6,426
International Community High School,436,2017-18,19,65,337,7,8,404
Academy of Applied Mathematics and Technology,296,2013-14,4,77,210,3,2,275
Academy of Applied Mathematics and Technology,306,2014-15,3,77,222,2,2,255
P.S. 291,663,2016-17,5,70,584,2,2,654
Academy of Applied Mathematics and Technology,304,2015-16,2,80,220,2,0,286
Academy of Applied Mathematics and Technology,302,2016-17,2,80,216,2,2,286
Academy of Applied Mathematics and Technology,300,2017-18,2,85,207,4,2,283
Concourse Village Elementary School,234,2013-14,1,88,137,5,3,230
Concourse Village Elementary School,275,2014-15,1,92,172,7,3,275
Concourse Village Elementary School,303,2015-16,1,99,188,9,6,291
Concourse Village Elementary School,342,2016-17,1,110,220,8,3,326
Concourse Village Elementary School,356,2017-18,3,115,226,8,4,315
Young Leaders Elementary School,314,2013-14,0,56,247,10,1,310
Young Leaders Elementary School,270,2014-15,0,37,230,3,0,269
Young Leaders Elementary School,253,2015-16,0,45,206,2,0,250
Young Leaders Elementary School,237,2016-17,0,41,192,2,2,231
Young Leaders Elementary School,261,2017-18,0,50,203,4,4,254
Jill Chaifetz Transfer High School,184,2013-14,1,57,117,6,3,121
Jill Chaifetz Transfer High School,190,2014-15,2,60,122,4,2,135
Jill Chaifetz Transfer High School,199,2015-16,1,71,123,2,2,131
Jill Chaifetz Transfer High School,216,2016-17,3,74,135,1,3,153
Jill Chaifetz Transfer High School,218,2017-18,3,76,135,2,2,184
Bronx Haven High School,172,2013-14,5,51,114,2,0,131
Bronx Haven High School,173,2014-15,5,50,117,1,0,135
Bronx Haven High School,183,2015-16,2,54,126,1,0,139
Bronx Haven High School,192,2016-17,3,62,126,1,0,158
Bronx Haven High School,192,2017-18,2,69,121,0,0,166
Community School for Social Justice,335,2013-14,4,83,246,1,1,294
Community School for Social Justice,324,2014-15,5,96,219,4,0,294
Community School for Social Justice,326,2015-16,2,91,228,4,1,293
Community School for Social Justice,305,2016-17,1,75,224,3,2,287
Community School for Social Justice,330,2017-18,0,90,233,5,2,302
Mott Haven Village Preparatory High School,344,2013-14,1,79,260,2,2,325
Mott Haven Village Preparatory High School,364,2014-15,0,93,269,1,1,348
Mott Haven Village Preparatory High School,380,2015-16,1,98,278,1,2,363
Mott Haven Village Preparatory High School,397,2016-17,2,104,285,3,3,376
Mott Haven Village Preparatory High School,358,2017-18,2,88,259,3,6,329
University Heights Secondary School,466,2013-14,11,124,325,5,1,420
University Heights Secondary School,486,2014-15,15,146,315,7,3,438
University Heights Secondary School,482,2015-16,13,139,316,7,7,437
University Heights Secondary School,467,2016-17,12,122,315,9,9,425
University Heights Secondary School,491,2017-18,22,125,320,9,15,423
Hostos-Lincoln Academy of Science,537,2013-14,21,112,393,3,8,421
Hostos-Lincoln Academy of Science,544,2014-15,16,112,399,8,9,426
Hostos-Lincoln Academy of Science,520,2015-16,13,95,396,6,10,417
Hostos-Lincoln Academy of Science,527,2016-17,16,105,392,6,8,423
Hostos-Lincoln Academy of Science,508,2017-18,11,112,374,7,4,434
Bronx Design and Construction Academy,429,2013-14,6,118,301,2,2,399
Bronx Design and Construction Academy,563,2014-15,8,135,397,19,4,517
Bronx Design and Construction Academy,577,2015-16,8,141,407,16,5,537
Bronx Design and Construction Academy,561,2016-17,8,128,401,17,7,518
Bronx Design and Construction Academy,504,2017-18,4,142,342,8,8,420
Bronx Leadership Academy II High School,515,2013-14,10,181,311,4,9,475
Bronx Leadership Academy II High School,495,2014-15,11,159,315,4,6,447
Bronx Leadership Academy II High School,504,2015-16,11,146,337,4,6,461
Bronx Leadership Academy II High School,500,2016-17,9,134,343,7,7,459
Bronx Leadership Academy II High School,513,2017-18,5,141,354,7,6,484
Learning through Play Pre-K Center,58,2015-16,0,16,40,2,0,54
Learning through Play Pre-K Center,86,2016-17,1,35,45,2,3,70
Learning through Play Pre-K Center,160,2017-18,0,59,96,0,5,99
New Explorers High School,463,2013-14,1,142,316,2,2,434
New Explorers High School,475,2014-15,1,151,319,1,3,407
New Explorers High School,426,2015-16,3,121,296,6,0,355
New Explorers High School,403,2016-17,2,112,287,2,0,335
New Explorers High School,314,2017-18,2,91,219,1,1,274
Careers in Sports High School,575,2013-14,1,164,398,6,6,497
Careers in Sports High School,587,2014-15,1,167,411,7,1,524
Careers in Sports High School,592,2015-16,3,170,406,13,0,512
Careers in Sports High School,560,2016-17,4,168,378,10,0,492
Careers in Sports High School,515,2017-18,5,150,348,10,2,457
The Urban Assembly Bronx Academy of Letters,584,2013-14,4,170,401,6,3,536
The Urban Assembly Bronx Academy of Letters,591,2014-15,5,184,388,13,1,553
The Urban Assembly Bronx Academy of Letters,600,2015-16,4,181,399,13,3,540
The Urban Assembly Bronx Academy of Letters,592,2016-17,4,183,385,18,2,546
The Urban Assembly Bronx Academy of Letters,590,2017-18,2,196,371,17,4,530
Mott Haven Community High School,202,2013-14,2,78,122,0,0,147
Mott Haven Community High School,249,2014-15,2,80,163,4,0,155
Mott Haven Community High School,242,2015-16,0,75,156,10,1,161
Mott Haven Community High School,242,2016-17,0,65,172,4,1,159
Mott Haven Community High School,232,2017-18,0,64,159,7,2,193
I.S. 584,277,2017-18,0,67,208,0,2,269
Alfred E. Smith Career and Technical Education Hig,390,2013-14,3,128,257,1,1,348
Alfred E. Smith Career and Technical Education Hig,375,2014-15,3,110,257,3,2,340
Alfred E. Smith Career and Technical Education Hig,415,2015-16,4,100,302,5,4,371
Alfred E. Smith Career and Technical Education Hig,444,2016-17,3,105,327,6,3,399
Alfred E. Smith Career and Technical Education Hig,463,2017-18,4,106,344,7,2,432
Health Opportunities High School,577,2013-14,16,206,341,7,7,514
Health Opportunities High School,554,2014-15,17,202,319,9,7,506
Health Opportunities High School,554,2015-16,14,188,330,10,12,479
Health Opportunities High School,461,2016-17,9,162,272,8,10,405
Health Opportunities High School,491,2017-18,9,191,274,9,8,416
P.S. X014 Senator John Calandra,607,2013-14,15,29,382,179,2,386
P.S. X014 Senator John Calandra,612,2014-15,18,30,397,160,7,407
P.S. X014 Senator John Calandra,599,2015-16,23,33,392,143,8,371
P.S. X014 Senator John Calandra,576,2016-17,28,30,384,123,11,356
P.S. X014 Senator John Calandra,547,2017-18,20,30,374,113,10,369
P.S. 036 Unionport,704,2013-14,116,77,475,19,17,478
P.S. 036 Unionport,789,2014-15,122,81,532,31,23,544
P.S. 036 Unionport,777,2015-16,144,88,501,24,20,508
P.S. 036 Unionport,743,2016-17,175,72,453,23,20,483
P.S. 036 Unionport,760,2017-18,186,70,458,25,21,586
P.S. 048 Joseph R. Drake,855,2013-14,1,228,607,11,8,769
P.S. 048 Joseph R. Drake,873,2014-15,5,217,635,9,7,756
P.S. 048 Joseph R. Drake,824,2015-16,8,218,585,9,4,706
P.S. 048 Joseph R. Drake,815,2016-17,7,214,578,11,5,692
P.S. 048 Joseph R. Drake,697,2017-18,8,174,505,8,2,644
P.S. 062 Inocensio Casanova,766,2013-14,2,162,582,16,4,742
P.S. 062 Inocensio Casanova,798,2014-15,2,175,595,21,5,772
P.S. 062 Inocensio Casanova,788,2015-16,2,156,604,21,5,764
P.S. 062 Inocensio Casanova,695,2016-17,1,123,549,18,4,686
P.S. 062 Inocensio Casanova,708,2017-18,1,141,547,15,4,697
P.S. 069 Journey Prep School,589,2013-14,12,100,465,6,6,534
P.S. 069 Journey Prep School,604,2014-15,12,95,485,7,5,538
P.S. 069 Journey Prep School,622,2015-16,10,100,500,7,5,552
P.S. 069 Journey Prep School,605,2016-17,9,91,490,9,6,542
P.S. 069 Journey Prep School,621,2017-18,18,97,493,7,6,552
P.S. 071 Rose E. Scala,1698,2013-14,119,65,1029,468,17,1292
P.S. 071 Rose E. Scala,1693,2014-15,116,69,1037,449,22,1273
P.S. 071 Rose E. Scala,1697,2015-16,121,67,1053,438,18,1255
P.S. 071 Rose E. Scala,1695,2016-17,131,79,1053,410,22,1269
P.S. 071 Rose E. Scala,1646,2017-18,135,83,1028,375,25,1201
P.S. 072 Dr. William Dorney,896,2013-14,37,187,625,44,3,774
P.S. 072 Dr. William Dorney,877,2014-15,32,179,626,38,2,763
P.S. 072 Dr. William Dorney,877,2015-16,28,171,632,45,1,743
P.S. 072 Dr. William Dorney,858,2016-17,34,169,616,38,1,739
P.S. 072 Dr. William Dorney,828,2017-18,33,174,579,42,0,716
P.S. 75 School of Research and Discovery,579,2013-14,3,155,411,6,4,509
P.S. 75 School of Research and Discovery,611,2014-15,7,165,431,7,1,523
P.S. 75 School of Research and Discovery,673,2015-16,6,176,478,10,3,553
P.S. 75 School of Research and Discovery,641,2016-17,7,152,462,16,4,510
P.S. 75 School of Research and Discovery,632,2017-18,6,152,451,16,7,566
P.S. 093 Albert G. Oliver,392,2013-14,0,235,144,8,5,249
P.S. 093 Albert G. Oliver,403,2014-15,0,237,155,5,6,256
P.S. 093 Albert G. Oliver,384,2015-16,0,220,153,6,5,242
P.S. 093 Albert G. Oliver,358,2016-17,1,190,155,4,8,221
P.S. 093 Albert G. Oliver,340,2017-18,1,163,165,4,7,249
P.S. 100 Isaac Clason,596,2013-14,4,216,361,7,8,459
P.S. 100 Isaac Clason,583,2014-15,6,197,368,7,5,452
P.S. 100 Isaac Clason,612,2015-16,6,203,389,6,8,460
P.S. 100 Isaac Clason,596,2016-17,3,178,396,7,12,436
P.S. 100 Isaac Clason,574,2017-18,4,157,391,6,16,472
M.S. X101 Edward R. Byrne,486,2013-14,72,58,273,78,5,359
M.S. X101 Edward R. Byrne,496,2014-15,71,62,277,81,5,346
M.S. X101 Edward R. Byrne,496,2015-16,67,49,276,99,5,326
M.S. X101 Edward R. Byrne,501,2016-17,67,50,277,97,10,338
M.S. X101 Edward R. Byrne,526,2017-18,66,52,300,98,10,392
P.S. 107,510,2013-14,7,196,301,5,1,497
P.S. 107,474,2014-15,3,177,290,4,0,451
P.S. 107,526,2015-16,3,170,337,14,2,517
P.S. 107,551,2016-17,4,177,350,15,5,544
P.S. 107,514,2017-18,2,172,324,13,3,508
The Dr. Emmett W. Bassett School,1035,2013-14,287,87,588,50,23,793
The Dr. Emmett W. Bassett School,1030,2014-15,294,92,550,61,33,737
The Dr. Emmett W. Bassett School,979,2015-16,300,84,503,66,26,704
The Dr. Emmett W. Bassett School,961,2016-17,285,100,481,62,33,690
The Dr. Emmett W. Bassett School,888,2017-18,261,83,432,73,39,739
J.H.S. 123 James M. Kieran,505,2013-14,8,122,371,2,2,404
J.H.S. 123 James M. Kieran,411,2014-15,11,93,303,3,1,332
J.H.S. 123 James M. Kieran,343,2015-16,4,71,267,1,0,280
J.H.S. 123 James M. Kieran,325,2016-17,11,73,238,1,2,259
J.H.S. 123 James M. Kieran,355,2017-18,10,84,257,1,3,310
J.H.S. 125 Henry Hudson,462,2013-14,115,58,266,15,8,446
J.H.S. 125 Henry Hudson,397,2014-15,93,62,212,22,8,372
J.H.S. 125 Henry Hudson,373,2015-16,74,63,200,26,10,361
J.H.S. 125 Henry Hudson,365,2016-17,87,57,189,23,9,352
J.H.S. 125 Henry Hudson,359,2017-18,90,44,183,26,16,343
P.S. 130 Abram Stevens Hewitt,496,2013-14,8,126,350,7,5,392
P.S. 130 Abram Stevens Hewitt,482,2014-15,5,118,346,12,1,382
P.S. 130 Abram Stevens Hewitt,521,2015-16,8,122,379,11,1,406
P.S. 130 Abram Stevens Hewitt,516,2016-17,8,119,378,9,2,388
P.S. 130 Abram Stevens Hewitt,489,2017-18,6,107,366,7,3,417
J.H.S. 131 Albert Einstein,726,2013-14,25,254,440,2,5,548
J.H.S. 131 Albert Einstein,586,2014-15,22,199,361,1,3,438
J.H.S. 131 Albert Einstein,539,2015-16,16,191,326,4,2,416
J.H.S. 131 Albert Einstein,469,2016-17,13,166,281,5,4,352
J.H.S. 131 Albert Einstein,460,2017-18,21,150,279,5,5,388
P.S. 138 Samuel Randall,842,2013-14,14,222,588,8,10,756
P.S. 138 Samuel Randall,807,2014-15,20,211,561,5,10,738
P.S. 138 Samuel Randall,784,2015-16,19,202,546,5,12,703
P.S. 138 Samuel Randall,739,2016-17,22,197,500,5,15,657
P.S. 138 Samuel Randall,724,2017-18,16,208,474,6,20,649
P.S. X140 The Eagle School,647,2013-14,3,228,395,12,9,605
P.S. X140 The Eagle School,654,2014-15,4,225,410,8,7,587
P.S. X140 The Eagle School,654,2015-16,3,227,402,13,9,587
P.S. X140 The Eagle School,664,2016-17,4,239,400,13,8,614
P.S. X140 The Eagle School,638,2017-18,2,227,392,10,7,585
P.S. 146 Edward Collins,461,2013-14,6,203,244,2,6,450
P.S. 146 Edward Collins,456,2014-15,6,202,239,1,8,444
P.S. 146 Edward Collins,407,2015-16,3,171,224,2,7,391
P.S. 146 Edward Collins,402,2016-17,3,161,226,4,8,386
P.S. 146 Edward Collins,408,2017-18,1,171,227,4,5,399
P.S. 152 Evergreen,977,2013-14,16,199,739,10,13,837
P.S. 152 Evergreen,979,2014-15,10,196,746,14,13,820
P.S. 152 Evergreen,948,2015-16,11,166,743,12,16,774
P.S. 152 Evergreen,936,2016-17,14,147,748,14,13,760
P.S. 152 Evergreen,833,2017-18,14,132,667,9,11,760
P.S. 182,986,2013-14,66,280,618,18,4,840
P.S. 182,1000,2014-15,84,275,619,18,4,865
P.S. 182,1030,2015-16,78,286,643,19,4,892
P.S. 182,990,2016-17,70,265,620,28,7,835
P.S. 182,879,2017-18,58,212,573,28,8,752
Bronx Studio School for Writers and Artists,540,2013-14,5,112,416,4,3,425
Bronx Studio School for Writers and Artists,565,2014-15,4,117,439,3,2,435
Bronx Studio School for Writers and Artists,588,2015-16,4,132,444,6,2,453
Bronx Studio School for Writers and Artists,638,2016-17,5,137,485,8,3,496
Bronx Studio School for Writers and Artists,643,2017-18,4,127,504,7,1,545
Women's Academy of Excellence,395,2013-14,13,184,175,12,11,340
Women's Academy of Excellence,345,2014-15,11,174,137,10,13,310
Women's Academy of Excellence,338,2015-16,23,154,137,13,11,304
Women's Academy of Excellence,305,2016-17,29,128,119,20,9,277
Women's Academy of Excellence,281,2017-18,30,115,93,33,10,262
Renaissance High School for Musical Theater & Tech,454,2013-14,13,117,274,46,4,315
Millennium Art Academy,432,2017-18,8,113,292,11,8,315
Renaissance High School for Musical Theater & Tech,444,2014-15,15,123,272,32,2,296
Renaissance High School for Musical Theater & Tech,452,2015-16,16,130,273,29,4,288
Renaissance High School for Musical Theater & Tech,454,2016-17,14,118,284,31,7,281
Renaissance High School for Musical Theater & Tech,465,2017-18,15,116,293,36,5,324
M.S. 301 Paul L. Dunbar,222,2013-14,1,80,136,4,1,195
M.S. 301 Paul L. Dunbar,191,2014-15,2,74,110,5,0,163
M.S. 301 Paul L. Dunbar,202,2015-16,1,82,116,3,0,170
M.S. 301 Paul L. Dunbar,237,2016-17,0,94,136,7,0,193
M.S. 301 Paul L. Dunbar,245,2017-18,0,100,140,4,1,232
M.S. 302 Luisa Dessus Cruz,590,2013-14,3,137,443,6,1,563
M.S. 302 Luisa Dessus Cruz,539,2014-15,4,112,411,11,1,521
M.S. 302 Luisa Dessus Cruz,501,2015-16,5,102,388,6,0,466
M.S. 302 Luisa Dessus Cruz,489,2016-17,4,95,381,8,1,466
M.S. 302 Luisa Dessus Cruz,488,2017-18,2,106,370,6,4,459
P.S. 304 Early Childhood School,561,2013-14,35,29,286,195,16,402
P.S. 304 Early Childhood School,558,2014-15,38,28,309,169,14,407
P.S. 304 Early Childhood School,519,2015-16,35,28,305,140,11,378
P.S. 304 Early Childhood School,490,2016-17,30,25,300,126,9,348
P.S. 304 Early Childhood School,507,2017-18,32,36,320,112,7,328
Millennium Art Academy,496,2013-14,10,151,329,5,1,345
Millennium Art Academy,487,2014-15,11,150,318,6,2,342
Millennium Art Academy,457,2015-16,8,129,310,6,4,312
Millennium Art Academy,447,2016-17,7,116,315,4,5,290
Pelham Lab High School,95,2013-14,6,28,49,8,4,77
Pelham Lab High School,211,2014-15,16,70,111,11,3,162
Pelham Lab High School,334,2015-16,23,86,190,25,10,262
Pelham Lab High School,459,2016-17,34,102,259,44,20,378
Pelham Lab High School,466,2017-18,34,108,270,36,18,407
Holcombe L. Rucker School of Community Research,261,2013-14,4,106,142,3,6,248
Holcombe L. Rucker School of Community Research,236,2014-15,1,101,130,1,3,210
Holcombe L. Rucker School of Community Research,193,2015-16,2,85,98,4,4,173
Holcombe L. Rucker School of Community Research,153,2016-17,3,84,63,2,1,138
Holcombe L. Rucker School of Community Research,149,2017-18,3,73,66,2,5,130
The Longwood Academy of Discovery,432,2013-14,0,103,313,8,8,382
The Longwood Academy of Discovery,432,2014-15,1,87,331,10,3,379
The Longwood Academy of Discovery,418,2015-16,1,85,322,8,2,361
The Longwood Academy of Discovery,413,2016-17,2,79,322,6,4,359
The Longwood Academy of Discovery,632,2017-18,3,130,481,14,4,611
The School for Inquiry and Social Justice,319,2013-14,3,116,199,1,0,244
The School for Inquiry and Social Justice,398,2014-15,14,123,259,2,0,296
The School for Inquiry and Social Justice,475,2015-16,17,132,322,3,1,334
The School for Inquiry and Social Justice,541,2016-17,23,129,379,3,7,384
The School for Inquiry and Social Justice,518,2017-18,10,123,372,3,10,414
Schuylerville Preparatory High School,95,2013-14,5,25,53,7,5,77
Schuylerville Preparatory High School,177,2014-15,7,39,118,11,2,145
Schuylerville Preparatory High School,280,2015-16,12,67,174,22,5,214
Schuylerville Preparatory High School,359,2016-17,16,90,212,31,10,280
Schuylerville Preparatory High School,376,2017-18,22,99,219,29,7,286
Bronx River High School,101,2013-14,2,32,54,4,9,86
Bronx River High School,204,2014-15,7,60,124,7,6,155
Bronx River High School,298,2015-16,10,81,184,13,10,218
Bronx River High School,409,2016-17,19,103,254,20,13,288
Bronx River High School,405,2017-18,21,87,266,20,11,324
"Archimedes Academy for Math, Science and Technolog",637,2013-14,42,213,368,11,3,517
"Archimedes Academy for Math, Science and Technolog",637,2014-15,46,197,377,13,4,540
"Archimedes Academy for Math, Science and Technolog",680,2015-16,51,220,394,10,5,524
